-10,0.00990099
-9.69697,0.0105735
-9.39394,0.011205
-9.09091,0.0120355
-8.78788,0.0127833
-8.18182,0.0151917
-7.57576,0.0171256
-7.17172,0.0194218
-6.76768,0.0213669
-6.56566,0.022794
-6.36364,0.0240988
-6.16162,0.0258194
-5.9596,0.0273847
-5.85859,0.0283582
-5.75758,0.0292829
-4.74747,0.0532604
-3.73737,0.0668094
-3.23232,0.0995144
-2.72727,0.118511
-2.52525,0.137792
-2.32323,0.156313
-2.0202,0.221407
-1.71717,0.253249
-1.0101,0.570301
-0.30303,0.915896
0.909091,0.39171
2.12121,0.181833
2.92929,0.179428
3.73737,0.0668094
3.93939,0.0600989
4.14141,0.0550924
4.54545,0.0489657
4.94949,0.0392195
5.25253,0.0354828
5.55556,0.0313832
5.75758,0.0295147
5.9596,0.0273847
6.26263,-1.01126
6.56566,0.0226717
